Department,Department_Division,PCN,Position_Title,FLSA_Code,Initial_Hire_Date,Date_in_Title,Salary,OBJECTID
CAD ,CAD 010 City Attorney,B.001527.1     ,Associate City Attorney,,16-Aug-18,20-Oct-22,101599.42,288076
CAD ,CAD 010 City Attorney,B.005682,Associate City Attorney,,16-Oct-08,16-Oct-08,127139.22,288077
CAD ,CAD 010 City Attorney,N.090190,Associate City Attorney,,28-Jul-22,,61.341,288078
CAD ,CAD 010 City Attorney,B.006083,Associate City Attorney,,7-Aug-14,7-Mar-24,102085.88,288079
CAD ,CAD 010 City Attorney,B.006504,Senior Attorney,,1-Nov-08,7-Jul-15,146187.6,288080
CAD ,CAD 010 City Attorney,B.005024.1     ,Senior Attorney,,7-Jul-14,25-Mar-21,137012.46,288081
CAD ,CAD 010 City Attorney,B.007090.1     ,Assistant City Attorney,,3-Nov-22,3-Nov-22,77479.74,288082
CAD ,CAD 010 City Attorney,B.004361,Associate City Attorney,,22-Nov-15,22-Nov-16,121494.88,288083
CAD ,CAD 010 City Attorney,B.001381,Associate City Attorney,,1-Sep-07,1-Apr-14,129088.44,288084
CAD ,CAD 010 City Attorney,B.004293,Deputy City Attorney,,1-Aug-98,1-Mar-07,175999.2,288085
CAD ,CAD 010 City Attorney,B.001161.3     ,Legal Secretary II,,14-Mar-19,21-Nov-19,45608.94,288086
CAD ,CAD 010 City Attorney,B.004631,Paralegal,,22-Mar-16,22-Mar-16,66425.84,288087
CAD ,CAD 010 City Attorney,B.005200.1     ,Paralegal,,1-Apr-08,16-May-11,66425.84,288088
CAD ,CAD 010 City Attorney,B.004750,Associate City Attorney,,22-Jan-15,24-Oct-19,106478.58,288089
CAD ,CAD 010 City Attorney,B.003992,Deputy City Attorney,,20-Sep-99,1-Mar-07,175999.2,288090
CAD ,CAD 010 City Attorney,B.007212,Associate City Attorney,,14-Sep-17,3-Nov-22,102516.96,288091
CAD ,CAD 010 City Attorney,B.000135,Legal Office Administrator,,1-Sep-04,1-Sep-04,109500.3,288092
CAD ,CAD 010 City Attorney,B.002709,Paralegal,,22-Aug-14,22-Aug-14,62763.22,288093
CAD ,CAD 010 City Attorney,B.003579.3     ,Paralegal,,11-Mar-21,11-Mar-21,59100.6,288094
CAD ,CAD 010 City Attorney,B.002504.1     ,Paralegal,,24-Mar-22,24-Mar-22,55437.98,288095
CAD ,CAD 010 City Attorney,B.007213.1     ,Administrative Assistant,,20-Apr-05,1-Nov-11,45468.28,288096
CAD ,CAD 010 City Attorney,B.006176,Paralegal,,1-Jun-98,16-Nov-07,68257.02,288097
CAD ,CAD 010 City Attorney,B.005820,Senior Attorney,,16-Jun-06,7-Jul-15,145073.76,288098
CAD ,CAD 010 City Attorney,B.001627.1     ,Administrative Assistant,,16-May-90,1-Aug-19,57767.06,288099
CAD ,CAD 010 City Attorney,B.004977,Senior Attorney,,16-Apr-06,16-Aug-13,143697.84,288100
CAD ,CAD 010 City Attorney,B.001341,City Attorney,,16-Feb-99,1-Mar-09,263206.06,288101
CAD ,CAD 010 City Attorney,B.007664,Associate City Attorney,,1-May-05,25-Feb-21,121472.26,288102
CAD ,CAD 010 City Attorney,B.002227,Associate City Attorney,,22-Apr-16,22-Apr-16,121119.96,288103
CAD ,CAD 010 City Attorney,B.003967.2     ,Legal Assistant Supervisor,,16-May-04,1-Apr-14,79291.42,288104
CAD ,CAD 010 City Attorney,B.001536.3     ,Paralegal,,20-Jun-24,20-Jun-24,51775.62,288105
CAD ,CAD 010 City Attorney,B.000103,Associate City Attorney,,12-May-07,7-Mar-24,102086.4,288106
CAD ,CAD 010 City Attorney,B.005064.1     ,Legal Secretary II,,21-May-20,20-May-21,45608.94,288107
CAD ,CAD 010 City Attorney,B.005503,Associate City Attorney,,16-Jun-04,16-Jun-07,121802.46,288108
CAD ,CAD 010 City Attorney,B.001758.1     ,Deputy City Attorney,,1-Nov-99,22-Sep-16,169050.96,288109
CCC ,CCC 041 Clerk of Circuit Court,S.020157,Deputy Clerk III (State),,1-Apr-14,1-Apr-14,48759.62,288110
CCC ,CCC 041 Clerk of Circuit Court,S.020192,Deputy Clerk I (State),,24-Sep-20,24-Sep-20,42589.56,288111
CCC ,CCC 041 Clerk of Circuit Court,S.020193,Deputy Clerk I (State),,13-Aug-19,10-Oct-19,46415.2,288112
CCC ,CCC 041 Clerk of Circuit Court,S.020032.1     ,Deputy Clerk IV (State),,16-Oct-00,1-Jan-04,81857.1,288113
CCC ,CCC 041 Clerk of Circuit Court,S.020158,Deputy Clerk I (State),,1-Jun-97,1-Aug-00,47393.84,288114
CCC ,CCC 041 Clerk of Circuit Court,S.020185,Deputy Clerk III (State),,1-May-11,1-Jul-21,56463.42,288115
CCC ,CCC 041 Clerk of Circuit Court,S.020161,Deputy Clerk I (State),,23-Mar-23,23-Mar-23,40732.64,288116
CCC ,CCC 041 Clerk of Circuit Court,S.020186.1     ,Accountant (State),,22-May-14,22-May-14,63568.7,288117
CCC ,CCC 041 Clerk of Circuit Court,S.020169,Deputy Clerk IV (State),,16-Feb-08,1-Apr-12,60870.94,288118
CCC ,CCC 041 Clerk of Circuit Court,S.020182,Deputy Clerk I (State),,14-Dec-23,14-Dec-23,39232.96,288119
CCC ,CCC 041 Clerk of Circuit Court,S.020619.1     ,Deputy Clerk I (State),,4-May-23,4-May-23,40791.14,288120
CCC ,CCC 041 Clerk of Circuit Court,S.020170,Deputy Clerk II (State),,16-Apr-02,1-May-12,52059.02,288121
CCC ,CCC 041 Clerk of Circuit Court,S.020181,Deputy Clerk I (State),,30-May-24,30-May-24,39232.96,288122
CCC ,CCC 041 Clerk of Circuit Court,S.020188,Deputy Clerk II (State),,1-Sep-11,1-Jul-21,51669.28,288123
CCC ,CCC 041 Clerk of Circuit Court,S.020150,Comptroller (State),,1-Jul-01,1-Jun-09,92845.48,288124
CCC ,CCC 041 Clerk of Circuit Court,S.020159,Deputy Clerk I (State),,17-Nov-22,17-Nov-22,39232.96,288125
CCC ,CCC 041 Clerk of Circuit Court,S.020151.3     ,Deputy Clerk I (State),,26-Mar-20,28-Jul-22,42832.4,288126
CCC ,CCC 041 Clerk of Circuit Court,S.020155,Chief Deputy Clerk II (State),,1-Jul-90,1-Jan-04,116894.96,288127
CCC ,CCC 041 Clerk of Circuit Court,S.020176,Deputy Clerk I (State),,14-Dec-23,14-Dec-23,39232.96,288128
CCC ,CCC 041 Clerk of Circuit Court,S.020196,Deputy Clerk II (State),,16-Sep-10,16-Sep-10,48575.28,288129
CCC ,CCC 041 Clerk of Circuit Court,S.020189,Deputy Clerk II (State),,1-Mar-12,1-Mar-12,46766.98,288130
CCC ,CCC 041 Clerk of Circuit Court,S.020156.1     ,Deputy Clerk I (State),,16-May-24,16-May-24,39232.96,288131
CCC ,CCC 041 Clerk of Circuit Court,S.020190,Deputy Clerk III (State),,16-Sep-10,1-Jul-21,58468.28,288132
CCC ,CCC 041 Clerk of Circuit Court,S.020183.1     ,Assistant Chief Deputy (State),,1-Feb-00,1-Apr-12,65967.72,288133
CCC ,CCC 041 Clerk of Circuit Court,S.020162,Deputy Clerk II (State),,1-Sep-13,13-Sep-18,44294.9,288134
CCC ,CCC 041 Clerk of Circuit Court,S.020187,Deputy Clerk I (State),,11-Aug-22,14-Dec-23,39232.96,288135
CCC ,CCC 041 Clerk of Circuit Court,S.020160,Deputy Clerk II (State),,1-Mar-13,1-Mar-13,50343.8,288136
CCC ,CCC 041 Clerk of Circuit Court,S.020171,Deputy Clerk II (State),,7-Aug-00,1-Apr-12,53144,288137
CCC ,CCC 041 Clerk of Circuit Court,S.020035,Chief Deputy Clerk I (State),,1-Jul-90,16-Jul-00,111324.46,288138
CCC ,CCC 041 Clerk of Circuit Court,S.020178.1     ,Assistant Chief Deputy (State),,12-Jun-87,1-Jul-21,65926.64,288139
CCC ,CCC 041 Clerk of Circuit Court,S.020163,Deputy Clerk I (State),,1-Dec-08,1-Dec-08,42143.14,288140
CCC ,CCC 041 Clerk of Circuit Court,S.020174,Deputy Clerk IV (State),,3-Aug-95,1-Oct-01,62684.44,288141
CCC ,CCC 041 Clerk of Circuit Court,B.005729,Clerk,,1-Oct-98,1-Dec-00,48915.1,288142
CCC ,CCC 041 Clerk of Circuit Court,S.020179,Deputy Clerk II (State),,22-Nov-15,15-Aug-19,48780.94,288143
CCC ,CCC 041 Clerk of Circuit Court,S.020198,Deputy Clerk II (State),,7-Oct-16,7-Oct-16,48902.88,288144
CCC ,CCC 041 Clerk of Circuit Court,S.020164,Deputy Clerk I (State),,25-Oct-18,25-Oct-18,49375.04,288145
CCC ,CCC 041 Clerk of Circuit Court,B.006702,Clerk,,24-Mar-22,24-Mar-22,39232.96,288146
CCC ,CCC 041 Clerk of Circuit Court,S.020173,Deputy Clerk I (State),,22-Feb-19,14-Dec-23,39232.96,288147
CCC ,CCC 041 Clerk of Circuit Court,S.020618.1     ,Deputy Clerk III (State),,30-Jul-82,1-Jan-04,59491.9,288148
CCC ,CCC 041 Clerk of Circuit Court,S.020165,Deputy Clerk III (State),,7-Jul-15,7-Jul-15,47034.26,288149
CCC ,CCC 041 Clerk of Circuit Court,B.006389,Clerk,,1-Nov-95,11-Oct-18,48915.1,288150
CCC ,CCC 041 Clerk of Circuit Court,S.020038,Clerk of the Circuit Court (State),,1-Nov-91,1-Jan-04,217292.66,288151
CCC ,CCC 041 Clerk of Circuit Court,S.020166,Deputy Clerk II (State),,7-Jun-15,7-Jun-15,47176.74,288152
CCC ,CCC 041 Clerk of Circuit Court,S.020175,Deputy Clerk I (State),,30-May-24,30-May-24,39232.96,288153
CCC ,CCC 041 Clerk of Circuit Court,S.020194,Deputy Clerk II (State),,3-Jun-02,1-May-12,48186.58,288154
CCC ,CCC 041 Clerk of Circuit Court,S.020168,Deputy Clerk I (State),,25-Aug-22,14-Dec-23,39232.96,288155
CCC ,CCC 041 Clerk of Circuit Court,S.020180.1     ,Assistant Chief Deputy (State),,16-Dec-97,1-Apr-12,60483.28,288156
CCC ,CCC 041 Clerk of Circuit Court,S.020195.1     ,Administrative Assistant (State),,1-Dec-11,1-Dec-11,53354.34,288157
CCC ,CCC 041 Clerk of Circuit Court,S.020197,Deputy Clerk I (State),,24-Sep-20,24-Sep-20,43675.58,288158
CCC ,CCC 041 Clerk of Circuit Court,S.020191,Deputy Clerk I (State),,23-Mar-23,23-Mar-23,41732.6,288159
CCC ,CCC 041 Clerk of Circuit Court,S.020177,Deputy Clerk III (State),,9-Jul-01,1-Apr-12,54879.5,288160
CIR ,CIR 011 Circuit Court/Judges Office,B.007865,Law Clerk,,24-Aug-23,24-Aug-23,63139.44,288161
CIR ,CIR 011 Circuit Court/Judges Office,B.005757,Judicial Assistant,,24-Feb-22,24-Feb-22,40002.04,288162
CIR ,CIR 011 Circuit Court/Judges Office,B.000176.3     ,Executive Paralegal,,16-Dec-87,1-Jul-06,85375.94,288163
CIR ,CIR 011 Circuit Court/Judges Office,B.003816,Court Administrator,,1-Nov-13,4-Nov-21,109054.4,288164
CIR ,CIR 011 Circuit Court/Judges Office,B.003816,Court Administrator,,1-Nov-13,4-Nov-21,109054.4,288165
CIR ,CIR 011 Circuit Court/Judges Office,N.090175,Judicial Assistant,,1-Jul-21,,19.8888,288166
CIR ,CIR 011 Circuit Court/Judges Office,B.004012,Staff Attorney,,16-Jul-98,16-Jul-98,121872.92,288167
CIR ,CIR 011 Circuit Court/Judges Office,B.001911.1     ,Judicial Administrative Assistant,,1-Jul-05,1-Feb-14,53606.8,288168
CIR ,CIR 011 Circuit Court/Judges Office,B.004582,Law Clerk,,24-Aug-23,24-Aug-23,63139.44,288169
CIR ,CIR 011 Circuit Court/Judges Office,B.002621.2     ,Judicial Administrative Assistant,,9-Dec-94,1-Jul-17,73750.82,288170
CIR ,CIR 011 Circuit Court/Judges Office,B.005154.2     ,Judicial Administrative Assistant,,1-Aug-97,1-Jul-17,71919.64,288171
CIR ,CIR 011 Circuit Court/Judges Office,B.000619,Jury Specialist,,7-Jan-16,11-Feb-21,58963.06,288172
CIR ,CIR 011 Circuit Court/Judges Office,B.005218,Law Clerk,,10-Aug-23,10-Aug-23,63139.44,288173
CIR ,CIR 011 Circuit Court/Judges Office,B.004909.3     ,Business Application Specialist II,,21-May-20,7-Oct-21,63742.9,288174
CIT ,CIT 114 Mail Service,B.002220,Distribution Clerk,,1-Jun-00,18-Apr-24,47525.14,288175
CIT ,CIT 114 Mail Service,B.005961.1     ,Distribution Clerk,,1-Jun-09,1-May-12,37406.98,288176
CIT ,CIT 114 Mail Service,B.000146,Distribution Clerk Supervisor,,1-Feb-18,1-Feb-18,54648.62,288177
CIT ,CIT 120 Information Technology Business Center,B.005463.1     ,Chief Technology Officer-Deputy Director,,21-Jun-18,6-Apr-23,153688.08,288178
CIT ,CIT 120 Information Technology Business Center,B.003001.3     ,Accountant III,,7-Jul-16,19-May-22,75430.16,288179
CIT ,CIT 120 Information Technology Business Center,B.002190.2     ,Financial Specialist,,24-May-18,17-Jan-19,57269.42,288180
CIT ,CIT 120 Information Technology Business Center,B.005817.5     ,Vendor Relations and Performance Coordinator,,10-Mar-22,10-Mar-22,89452.48,288181
CIT ,CIT 120 Information Technology Business Center,B.002808.1     ,Administrative Technician,,11-May-17,7-Jun-18,44872.1,288182
CIT ,CIT 120 Information Technology Business Center,B.001871,Account Clerk II,,5-Jul-18,2-Aug-18,38097.28,288183
CIT ,CIT 120 Information Technology Business Center,B.005644.1     ,Office Assistant II,,6-Jan-22,6-Jan-22,36283.26,288184
CIT ,CIT 120 Information Technology Business Center,B.007457.5     ,IT Project Manager III,,16-Aug-18,16-Aug-18,94812.9,288185
CIT ,CIT 120 Information Technology Business Center,B.003191,Administrative Services Manager II,,14-Feb-19,14-Feb-19,97334.9,288186
CIT ,CIT 120 Information Technology Business Center,B.007310.2     ,Systems Analyst II,,4-Nov-21,4-Nov-21,83900.7,288187
CIT ,CIT 120 Information Technology Business Center,B.003055.2     ,Administrative Specialist II,,4-Aug-22,4-Aug-22,55437.98,288188
CIT ,CIT 120 Information Technology Business Center,B.000178.4     ,Systems Analyst I,,12-May-22,12-May-22,77143.3,288189
CIT ,CIT 120 Information Technology Business Center,B.003881.2     ,Systems Analyst II,,22-Feb-15,11-Aug-22,81725.28,288190
CIT ,CIT 120 Information Technology Business Center,B.003613,Account Clerk III,,7-Oct-14,11-Oct-18,44872.1,288191
CIT ,CIT 120 Information Technology Business Center,B.004374.3     ,Systems Analyst II,,26-Aug-21,26-Aug-21,89434.8,288192
CIT ,CIT 120 Information Technology Business Center,B.003212,Executive Assistant II,,7-Nov-19,29-Jul-21,51054.12,288193
CIT ,CIT 120 Information Technology Business Center,B.006845.4     ,Systems Analyst II,,6-Dec-18,6-Dec-18,93738.58,288194
CIT ,CIT 120 Information Technology Business Center,B.001351.2     ,Special Projects Coordinator,,1-Oct-05,5-Jan-17,79016.08,288195
CIT ,CIT 120 Information Technology Business Center,B.000474.4     ,IT Services and Portfolio Manager,,7-Nov-15,27-Apr-17,107319.94,288196
CIT ,CIT 120 Information Technology Business Center,B.006937.5     ,IT Quality Assurance Manager,,4-Jan-18,6-May-21,108912.44,288197
CIT ,CIT 120 Information Technology Business Center,B.007459.2     ,IT Project Manager II,,6-Jan-22,6-Jan-22,89422.58,288198
CIT ,CIT 120 Information Technology Business Center,B.003339,Chief Information Officer,,13-Apr-17,13-Apr-17,186000.1,288199
CIT ,CIT 121 Applications Support,B.007003.3     ,IT Business Analyst II,,7-Jun-15,7-Jun-15,100136.66,288200
CIT ,CIT 121 Applications Support,B.007460.4     ,IT Project Manager II,,21-May-20,21-May-20,83900.7,288201
CIT ,CIT 121 Applications Support,B.007454.1     ,IT Solutions Manager,,3-Jan-19,3-Jan-19,103726.22,288202
CIT ,CIT 121 Applications Support,B.003552.4     ,IT Solutions Manager,,16-Mar-11,16-Mar-11,115390.34,288203
CIT ,CIT 121 Applications Support,I.080046,STEM Intern II,,23-May-24,,17,288204
CIT ,CIT 121 Applications Support,B.006190.4     ,Systems Analyst II,,7-Nov-19,7-Nov-19,90193.22,288205
CIT ,CIT 121 Applications Support,B.000198,Systems Analyst II,,1-Nov-01,1-Sep-11,113391.2,288206
CIT ,CIT 121 Applications Support,B.005948.1     ,IT Solutions Manager,,16-Feb-04,16-Feb-04,126098.44,288207
CIT ,CIT 121 Applications Support,B.000715.1     ,Systems Analyst II,,22-Nov-16,24-Mar-22,87164.48,288208
CIT ,CIT 121 Applications Support,B.003369.2     ,Systems Analyst I,,25-Aug-22,25-Aug-22,66929.98,288209
CIT ,CIT 121 Applications Support,B.003369.2     ,Systems Analyst I,,25-Aug-22,25-Aug-22,66929.98,288210
CIT ,CIT 121 Applications Support,B.007002.1     ,Systems Analyst II,,8-Sep-22,8-Sep-22,78750.1,288211
CIT ,CIT 121 Applications Support,B.001976.4     ,IT Deputy Chief of Enterprise Solutions and Services,,16-Sep-88,1-Oct-09,153273.38,288212
CIT ,CIT 121 Applications Support,B.000502.2     ,IT Deputy Chief of Enterprise Solutions and Services,,1-Apr-99,22-Jun-17,149952.4,288213
CIT ,CIT 121 Applications Support,B.003199.2     ,Systems Analyst II,,6-May-21,6-May-21,83900.7,288214
CIT ,CIT 121 Applications Support,B.006402.2     ,Systems Analyst II,,30-Jan-20,30-Jan-20,93243.02,288215
CIT ,CIT 121 Applications Support,B.003526.4     ,IT Business Analyst II,,25-Mar-21,25-Mar-21,91699.66,288216
CIT ,CIT 121 Applications Support,B.006192,Systems Analyst II,,13-Feb-20,13-Feb-20,110250.14,288217
CIT ,CIT 121 Applications Support,B.007311.1     ,IT Solutions Manager,,26-Oct-17,26-Oct-17,104039,288218
CIT ,CIT 121 Applications Support,B.006191.3     ,IT Project Manager III,,1-Jul-05,1-Jul-05,122384.6,288219
CIT ,CIT 121 Applications Support,B.001857.2     ,Systems Analyst II,,8-Jun-17,8-Jun-17,98806.5,288220
CIT ,CIT 121 Applications Support,B.007793,Systems Analyst I,,5-May-22,20-Apr-23,66929.98,288221
CIT ,CIT 121 Applications Support,B.003591.4     ,IT Project Manager II,,3-Aug-17,3-Aug-17,87913.8,288222
CIT ,CIT 121 Applications Support,B.002174.6     ,Systems Analyst I,,8-Nov-18,15-Dec-22,66929.98,288223
CIT ,CIT 121 Applications Support,B.007455,Systems Analyst II,,8-Apr-21,8-Apr-21,87289.54,288224
CIT ,CIT 121 Applications Support,B.002790.4     ,IT Project Manager II,,27-Sep-18,27-Sep-18,99792.68,288225
CIT ,CIT 121 Applications Support,B.007312.1     ,IT Solutions Manager,,1-Oct-13,16-Feb-17,115802.96,288226
CIT ,CIT 121 Applications Support,B.003398.2     ,Systems Analyst II,,16-Oct-13,22-Sep-22,81506.88,288227
CIT ,CIT 121 Applications Support,B.007873,Systems Analyst II,,16-Nov-23,16-Nov-23,90000.04,288228
CIT ,CIT 121 Applications Support,B.001790.1     ,Systems Analyst II,,16-Jan-82,1-Jan-91,119836.08,288229
CIT ,CIT 121 Applications Support,B.006193.1     ,IT Solutions Manager,,29-Mar-18,12-Sep-19,104681.2,288230
CIT ,CIT 121 Applications Support,B.001145.1     ,Systems Analyst II,,26-Apr-18,26-Apr-18,83312.06,288231
CIT ,CIT 121 Applications Support,B.007260.2     ,Systems Analyst II,,22-Jun-23,22-Jun-23,92975.74,288232
CIT ,CIT 121 Applications Support,B.005459.3     ,Systems Analyst II,,28-Mar-24,28-Mar-24,90000.04,288233
CIT ,CIT 121 Applications Support,B.007795,Systems Analyst II,,9-Feb-23,9-Feb-23,77479.74,288234
CIT ,CIT 121 Applications Support,B.006734.3     ,IT Business Analyst II,,7-May-16,7-May-16,91009.62,288235
CIT ,CIT 121 Applications Support,B.006739.1     ,Systems Analyst II,,7-Oct-21,7-Oct-21,81293.94,288236
CIT ,CIT 121 Applications Support,B.006739.1     ,Systems Analyst II,,7-Oct-21,7-Oct-21,81293.94,288237
CIT ,CIT 121 Applications Support,B.006434.1     ,Systems Analyst I,,2-Jun-22,2-Jun-22,84160.44,288238
CIT ,CIT 121 Applications Support,B.000946.3     ,Systems Engineer III,,22-Jun-17,22-Jun-17,137903.48,288239
CIT ,CIT 121 Applications Support,B.003602.1     ,Systems Analyst II,,22-Jul-14,22-Jul-14,100251.32,288240
CIT ,CIT 121 Applications Support,B.000795.3     ,Systems Analyst II,,1-May-09,22-Jun-15,94525.34,288241
CIT ,CIT 121 Applications Support,B.006738.1     ,Systems Analyst II,,1-Apr-02,29-Mar-18,111923.76,288242
CIT ,CIT 121 Applications Support,B.005960.2     ,Systems Analyst II,,16-Nov-88,1-Apr-12,120093.74,288243
CIT ,CIT 121 Applications Support,B.006936,Systems Analyst II,,17-Nov-22,17-Nov-22,90300.34,288244
CIT ,CIT 121 Applications Support,B.005784.3     ,Systems Analyst III,,1-Jun-98,28-Jul-22,114166.52,288245
CIT ,CIT 121 Applications Support,B.005829.1     ,Systems Analyst III,,16-Nov-10,16-Nov-10,123806.54,288246
CIT ,CIT 121 Applications Support,B.006507.3     ,Systems Analyst I,,21-Nov-19,21-Nov-19,75631.4,288247
CIT ,CIT 121 Applications Support,B.007791,Systems Analyst I,,16-Dec-13,6-Apr-23,76767.6,288248
CIT ,CIT 121 Applications Support,B.007792,Systems Analyst I,,28-Feb-19,6-Apr-23,69385.68,288249
CIT ,CIT 121 Applications Support,B.003381,Systems Analyst III,,1-Jun-10,1-Jun-10,99085.74,288250
CIT ,CIT 121 Applications Support,B.002964,Systems Analyst III,,1-Dec-02,1-Dec-02,126098.44,288251
CIT ,CIT 121 Applications Support,B.007315.2     ,IT Project Manager II,,9-May-19,9-May-19,85918.82,288252
CIT ,CIT 121 Applications Support,B.001159,Systems Analyst II,,7-Nov-16,7-Nov-16,89909.04,288253
CIT ,CIT 121 Applications Support,B.002032.8     ,Systems Analyst II,,22-Nov-15,4-Apr-24,102500.06,288254
CIT ,CIT 121 Applications Support,B.003946.1     ,Systems Analyst II,,1-Mar-12,6-Apr-23,80401.1,288255
CIT ,CIT 121 Applications Support,B.006443.3     ,Systems Analyst II,,20-Jul-17,20-Jul-17,88028.46,288256
CIT ,CIT 121 Applications Support,B.001309.1     ,Systems Analyst II,,18-Jan-24,18-Jan-24,90000.04,288257
CIT ,CIT 121 Applications Support,B.002627.1     ,Systems Analyst I,,10-Mar-22,10-Mar-22,70126.16,288258
CIT ,CIT 121 Applications Support,B.002627.1     ,Systems Analyst I,,10-Mar-22,10-Mar-22,70126.16,288259
CIT ,CIT 121 Applications Support,B.006732.2     ,IT Project Manager II,,12-Oct-23,12-Oct-23,90000.04,288260
CIT ,CIT 121 Applications Support,B.007316.2     ,IT Project Manager II,,14-Feb-19,14-Feb-19,101329.02,288261
CIT ,CIT 121 Applications Support,B.007309,Systems Analyst II,,19-May-17,31-Aug-23,80000.18,288262
CIT ,CIT 121 Applications Support,B.007456.1     ,Systems Analyst II,,16-Aug-18,16-Aug-18,87913.8,288263
CIT ,CIT 122 Data & Information Management,B.005641.5     ,Software Developer III,,1-Nov-13,1-Dec-22,106120.56,288264
CIT ,CIT 122 Data & Information Management,I.080049,STEM Intern III,,12-Jun-24,,19,288265
CIT ,CIT 122 Data & Information Management,B.000577.2     ,Systems Engineer II,,16-Sep-13,22-Oct-16,115455.08,288266
CIT ,CIT 122 Data & Information Management,B.004449.6     ,Software Developer II,,10-Oct-19,10-Oct-19,98960.42,288267
CIT ,CIT 122 Data & Information Management,B.001434.3     ,IT Deputy Chief of Data and Information Management,,29-Mar-18,29-Mar-18,149952.4,288268
CIT ,CIT 122 Data & Information Management,B.003547.6     ,Software Developer III,,16-Aug-00,16-Jan-13,126098.44,288269
CIT ,CIT 122 Data & Information Management,B.005640.6     ,Software Developer II,,1-May-08,1-May-08,95826.9,288270
CIT ,CIT 122 Data & Information Management,B.001718.3     ,Systems Analyst II,,20-Jun-19,20-Jun-19,85895.94,288271
CIT ,CIT 122 Data & Information Management,B.001013.2     ,Systems Engineer II,,12-Sep-19,12-Sep-19,96429.06,288272
CIT ,CIT 122 Data & Information Management,B.004377.1     ,Systems Engineer III,,16-Jun-10,27-Sep-18,119053.48,288273
CIT ,CIT 122 Data & Information Management,B.003054.3     ,Software Developer II,,1-Sep-83,16-May-05,119821.52,288274
CIT ,CIT 122 Data & Information Management,B.002822.1     ,Systems Engineer II,,1-Jun-06,1-Sep-10,120093.74,288275
CIT ,CIT 122 Data & Information Management,B.006194.1     ,Systems Engineer III,,16-Feb-04,24-Sep-20,136114.94,288276
CIT ,CIT 122 Data & Information Management,B.003494.2     ,Systems Engineer II,,7-Feb-16,7-Feb-16,107039.14,288277
CIT ,CIT 122 Data & Information Management,B.006939.3     ,Software Developer II,,25-Jan-24,25-Jan-24,79999.92,288278
CIT ,CIT 122 Data & Information Management,B.002615.5     ,Software Developer I,,1-Feb-13,1-Jun-23,79038.96,288279
CIT ,CIT 122 Data & Information Management,B.000710.1     ,Systems Engineer I,,31-Mar-22,31-Mar-22,95917.64,288280
CIT ,CIT 122 Data & Information Management,B.000890.1     ,Systems Engineer II,,22-Feb-15,22-Feb-15,104035.1,288281
